Total entries: 197,678

Rank  Name          Number       95%     %-age  Cumulative
                    in Sample    Conf.          %-age
----  ----          ---------    -----   ------  ----------


1003  HARTER               29 +- 24.0    0.01%  47.45%
1004  PARK                 29 +- 24.0    0.01%  47.47%
1005  WIGGINS              29 +- 24.0    0.01%  47.48%
1006  HAYWARD              29 +- 24.0    0.01%  47.50%
1007  HOLDER               29 +- 24.0    0.01%  47.51%
1008  ODONNELL             29 +- 24.0    0.01%  47.53%
1009  FRANKS               29 +- 24.0    0.01%  47.54%
1010  SARAH                29 +- 24.0    0.01%  47.55%
1011  HORNE                29 +- 24.0    0.01%  47.57%
1012  GOFF                 29 +- 24.0    0.01%  47.58%
1013  BLANTON              29 +- 24.0    0.01%  47.60%
1014  AYERS                29 +- 24.0    0.01%  47.61%
1015  GARLAND              29 +- 24.0    0.01%  47.63%
1016  CONNELLY             29 +- 24.0    0.01%  47.64%
1017  DOUGLAS              29 +- 24.0    0.01%  47.66%
1018  BOSWORTH             29 +- 24.0    0.01%  47.67%
1019  BURCH                29 +- 24.0    0.01%  47.69%
1020  EASTMAN              29 +- 24.0    0.01%  47.70%
1021  OSBORNE              28 +- 23.5    0.01%  47.72%
1022  PRATHER              28 +- 23.5    0.01%  47.73%
1023  WASHINGTON           28 +- 23.5    0.01%  47.74%
1024  METCALF              28 +- 23.5    0.01%  47.76%
1025  MASSEY               28 +- 23.5    0.01%  47.77%
1026  MAHONEY              28 +- 23.5    0.01%  47.79%
1027  DUFFY                28 +- 23.5    0.01%  47.80%
1028  SWEET                28 +- 23.5    0.01%  47.81%
1029  CARY                 28 +- 23.5    0.01%  47.83%
1030  BELDEN               28 +- 23.5    0.01%  47.84%
1031  FRASIER              28 +- 23.5    0.01%  47.86%
1032  WHITEHEAD            28 +- 23.5    0.01%  47.87%
1033  STRANGE              28 +- 23.5    0.01%  47.89%
1034  STATON               28 +- 23.5    0.01%  47.90%
1035  SHEPARD              28 +- 23.5    0.01%  47.91%
1036  HAIGHT               28 +- 23.5    0.01%  47.93%
1037  KOLB                 28 +- 23.5    0.01%  47.94%
1038  ROBB                 28 +- 23.5    0.01%  47.96%
1039  RHEA                 28 +- 23.5    0.01%  47.97%
1040  COFFIN               28 +- 23.5    0.01%  47.98%
1041  CORBIN               28 +- 23.5    0.01%  48.00%
1042  ROLLINS              28 +- 23.5    0.01%  48.01%
1043  OLDHAM               28 +- 23.5    0.01%  48.03%
1044  HORNER               28 +- 23.5    0.01%  48.04%
1045  WHEATLEY             28 +- 23.5    0.01%  48.06%
1046  ELKINS               28 +- 23.5    0.01%  48.07%
1047  M.CINTOSH            28 +- 23.5    0.01%  48.08%
1048  CUMMINGHAM           28 +- 23.5    0.01%  48.10%
1049  HASKINS              28 +- 23.5    0.01%  48.11%
1050  M.CKNIGHT            28 +- 23.5    0.01%  48.13%
1051  M.CGEE               28 +- 23.5    0.01%  48.14%
1052  HICKEY               28 +- 23.5    0.01%  48.15%
1053  CRAFT                28 +- 23.5    0.01%  48.17%
1054  FITZPATRICK          28 +- 23.5    0.01%  48.18%
1055  BYRD                 28 +- 23.5    0.01%  48.20%
1056  POLLARD              28 +- 23.5    0.01%  48.21%
1057  MUNSON               28 +- 23.5    0.01%  48.23%
1058  BECKER               28 +- 23.5    0.01%  48.24%
1059  WOODWORTH            28 +- 23.5    0.01%  48.25%
1060  CURRIER              28 +- 23.5    0.01%  48.27%
1061  GARRISON             28 +- 23.5    0.01%  48.28%
1062  ADAIR                28 +- 23.5    0.01%  48.30%
1063  THORN                28 +- 23.5    0.01%  48.31%
1064  HANDY                28 +- 23.5    0.01%  48.32%
1065  BUTTERFIELD          28 +- 23.5    0.01%  48.34%
1066  CASTLE               27 +- 23.1    0.01%  48.35%
1067  CROCKER              27 +- 23.1    0.01%  48.37%
1068  KEEN                 27 +- 23.1    0.01%  48.38%
1069  SHEPPERD             27 +- 23.1    0.01%  48.39%
1070  MORELAND             27 +- 23.1    0.01%  48.41%
1071  HARDIN               27 +- 23.1    0.01%  48.42%
1072  LACKEY               27 +- 23.1    0.01%  48.43%
1073  MELVIN               27 +- 23.1    0.01%  48.45%
1074  VALENTINE            27 +- 23.1    0.01%  48.46%
1075  ELLISON              27 +- 23.1    0.01%  48.48%
1076  KINDER               27 +- 23.1    0.01%  48.49%
1077  HINMAN               27 +- 23.1    0.01%  48.50%
1078  GOSS                 27 +- 23.1    0.01%  48.52%
1079  HAND                 27 +- 23.1    0.01%  48.53%
1080  OGDEN                27 +- 23.1    0.01%  48.54%
1081  BANE                 27 +- 23.1    0.01%  48.56%
1082  FUNK                 27 +- 23.1    0.01%  48.57%
1083  CLEVELAND            27 +- 23.1    0.01%  48.58%
1084  HUMPHRIES            27 +- 23.1    0.01%  48.60%
1085  DUVALL               27 +- 23.1    0.01%  48.61%
1086  STURGES              27 +- 23.1    0.01%  48.63%
1087  WINN                 27 +- 23.1    0.01%  48.64%
1088  BRADBURY             27 +- 23.1    0.01%  48.65%
1089  STREET               27 +- 23.1    0.01%  48.67%
1090  LOONEY               27 +- 23.1    0.01%  48.68%
1091  RIGHT                27 +- 23.1    0.01%  48.69%
1092  HOMER                27 +- 23.1    0.01%  48.71%
1093  BIGELOW              27 +- 23.1    0.01%  48.72%
1094  ANTHONY              27 +- 23.1    0.01%  48.73%
1095  LIBBY                27 +- 23.1    0.01%  48.75%
1096  PARKHURST            27 +- 23.1    0.01%  48.76%
1097  SMART                27 +- 23.1    0.01%  48.78%
1098  YOUNGBLOOD           26 +- 22.7    0.01%  48.79%
1099  BOYCE                26 +- 22.7    0.01%  48.80%
1100  SHOOK                26 +- 22.7    0.01%  48.82%
1101  ALBRIGHT             26 +- 22.7    0.01%  48.83%
1102  NUTTER               26 +- 22.7    0.01%  48.84%
1103  EARL                 26 +- 22.7    0.01%  48.85%
1104  MCCOY                26 +- 22.7    0.01%  48.87%
1105  JOHNS                26 +- 22.7    0.01%  48.88%
1106  WHITEHOUSE           26 +- 22.7    0.01%  48.89%
1107  ADKINS               26 +- 22.7    0.01%  48.91%
1108  QUEEN                26 +- 22.7    0.01%  48.92%
1109  GARDINER             26 +- 22.7    0.01%  48.93%
1110  LUTZ                 26 +- 22.7    0.01%  48.95%
1111  ANDREW               26 +- 22.7    0.01%  48.96%
1112  SWIFT                26 +- 22.7    0.01%  48.97%
1113  STALL                26 +- 22.7    0.01%  48.99%
1114  EGBERT               26 +- 22.7    0.01%  49.00%
1115  PRIEST               26 +- 22.7    0.01%  49.01%
1116  MINOR                26 +- 22.7    0.01%  49.03%
1117  CONNELL              26 +- 22.7    0.01%  49.04%
1118  MCLAUGHLIN           26 +- 22.7    0.01%  49.05%
1119  DALY                 26 +- 22.7    0.01%  49.07%
1120  BARE                 26 +- 22.7    0.01%  49.08%
1121  GILLET               26 +- 22.7    0.01%  49.09%
1122  PEEK                 26 +- 22.7    0.01%  49.10%
1123  CONE                 26 +- 22.7    0.01%  49.12%
1124  GAINES               26 +- 22.7    0.01%  49.13%
1125  BARNET               26 +- 22.7    0.01%  49.14%
1126  STAPLETON            26 +- 22.7    0.01%  49.16%
1127  MATHEWSON            26 +- 22.7    0.01%  49.17%
1128  INMAN                26 +- 22.7    0.01%  49.18%
1129  BIGGS                26 +- 22.7    0.01%  49.20%
1130  HENSLEY              26 +- 22.7    0.01%  49.21%
1131  MASTERS              26 +- 22.7    0.01%  49.22%
1132  BEAVERS              26 +- 22.7    0.01%  49.24%
1133  BOGGS                26 +- 22.7    0.01%  49.25%
1134  FLEMMING             26 +- 22.7    0.01%  49.26%
1135  BLOSS                26 +- 22.7    0.01%  49.28%
1136  COVINGTON            26 +- 22.7    0.01%  49.29%
1137  ROTH                 26 +- 22.7    0.01%  49.30%
1138  JARVIS               26 +- 22.7    0.01%  49.32%
1139  JUSTICE              26 +- 22.7    0.01%  49.33%
1140  MITCHEL              26 +- 22.7    0.01%  49.34%
1141  FLACK                26 +- 22.7    0.01%  49.35%
1142  STAFFORD             26 +- 22.7    0.01%  49.37%
Total=97589
